FK_DIM_TID;FK_DIM_TIME;VOLUM;PRIS;BELOP_KRAFT;Dag;Måned;År;Dato;UkedagNr;Ukedag;UkeHelg;Helligdag;Uke
20180301;0;5;0,38034;1,9017;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;1;3;0,37582;1,1275;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;2;3;0,3737;1,1211;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;3;4;0,37553;1,5021;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;4;4;0,38111;1,5244;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;5;3;0,3916;1,1748;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;6;3;0,38679;1,1604;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;7;4;0,3941;1,5764;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;8;3;0,40459;1,2138;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;9;4;0,4071;1,6284;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;10;3;0,39824;1,1947;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;11;5;0,41306;2,0653;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;12;3;0,39824;1,1947;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;13;3;0,39458;1,1837;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;14;4;0,39372;1,5749;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;15;4;0,39199;1,568;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;16;4;0,38592;1,5437;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;17;4;0,38737;1,5495;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;18;4;0,3993;1,5972;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;19;4;0,39814;1,5926;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;20;3;0,39073;1,1722;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
20180301;21;4;0,38525;1,541;1;3;2018;01.03.2018;4;Torsdag;Ukedag;Normaldag;9
